,run_day,minT,maxT,srad,co2,DOY,lagged_precip,Lai_loss,burnt_area_fraction,21d_minT,21d_photoperiod,21d_vpd,Forest_mgmt_after_clearing,Mean_T,doy,mint_C,maxt_C
2018-07-22,574.0,13.712825230189733,22.18752179827009,26.575948,408.354,209.0,-9999.0,0.09,-9999.0,287.3100503726881,57093.55364010049,635.701642717634,-9999.0,-9999.0,203,13.712825230189733,22.18752179827009
2018-07-29,581.0,14.076215471540179,21.554412841796875,20.7992,408.008,216.0,-9999.0,0.08,-9999.0,286.92317778918203,56163.1595044221,539.3397231329055,-9999.0,-9999.0,210,14.076215471540179,21.554412841796875
2018-08-05,588.0,12.601213727678571,19.913931710379465,24.593486,407.66200000000003,223.0,-9999.0,0.0,-9999.0,286.924238845929,55048.60774564772,487.1291726041003,-9999.0,-9999.0,217,12.601213727678571,19.913931710379465
2018-08-12,595.0,14.164341517857142,19.28592790876116,18.280924,407.31600000000003,230.0,-9999.0,0.52,-9999.0,286.6865459416188,53782.91374311377,415.6101478005753,-9999.0,-9999.0,224,14.164341517857142,19.28592790876116
2018-08-19,602.0,13.582179478236608,18.499093191964285,18.348428,406.97,237.0,-9999.0,2.0,-9999.0,286.95165608723954,52397.26790961881,377.446654339226,-9999.0,-9999.0,231,13.582179478236608,18.499093191964285
2018-08-26,609.0,10.345493861607142,17.64699445452009,20.441522,406.6075,244.0,-9999.0,0.05,-9999.0,286.06398174259937,50919.4285055037,332.0467924779775,-9999.0,-9999.0,238,10.345493861607142,17.64699445452009
2018-09-02,616.0,12.444392613002233,17.694832938058035,14.24428,406.245,251.0,-9999.0,1.17,-9999.0,285.62004045758925,49373.04355437513,346.7653868798496,-9999.0,-9999.0,245,12.444392613002233,17.694832938058035
2018-09-09,623.0,11.415693010602679,17.109784807477677,14.861191,405.8825,258.0,-9999.0,0.36,-9999.0,284.7564260054608,47777.68454567563,350.4745026672778,-9999.0,-9999.0,252,11.415693010602679,17.109784807477677
2018-09-16,630.0,12.686789376395089,17.269949776785715,13.326882,405.52,265.0,-9999.0,0.0,-9999.0,285.1327253899606,46149.356312385025,338.7835106882108,-9999.0,-9999.0,259,12.686789376395089,17.269949776785715
2018-09-23,637.0,6.240940638950893,15.245644705636161,15.241838999999999,405.616,272.0,-9999.0,0.82,-9999.0,284.0348096367453,44501.29044692795,309.98447371502317,-9999.0,-9999.0,266,6.240940638950893,15.245644705636161
2018-09-30,644.0,9.330453055245536,15.028324672154017,14.391007,405.712,279.0,-9999.0,0.12,-9999.0,282.6999074507733,42844.88936212505,291.6615063933288,-9999.0,-9999.0,273,9.330453055245536,15.028324672154017
2018-10-07,651.0,9.735251290457589,16.557591029575892,12.469019,405.808,286.0,-9999.0,0.02,-9999.0,281.6087612022348,41190.74025956223,267.0280881090229,-9999.0,-9999.0,280,9.735251290457589,16.557591029575892
2018-10-14,658.0,8.61187744140625,14.000514439174108,9.405555999999999,405.904,293.0,-9999.0,0.47,-9999.0,282.13620418626437,39549.653236913386,235.9219387339897,-9999.0,-9999.0,287,8.61187744140625,14.000514439174108
2018-10-21,665.0,6.090994698660714,11.299822126116071,9.94512,406.0,300.0,-9999.0,0.46,-9999.0,281.89228299718326,37933.69321224324,198.87383374064956,-9999.0,-9999.0,294,6.090994698660714,11.299822126116071
2018-10-28,672.0,2.0652553013392856,9.451106480189733,8.74833,406.505,307.0,-9999.0,0.78,-9999.0,279.90986257540123,36357.17113512563,184.41877004402835,-9999.0,-9999.0,301,2.0652553013392856,9.451106480189733
2018-11-04,679.0,8.258697509765625,12.248373849051339,4.521361,407.01,314.0,-9999.0,0.0,-9999.0,278.60102530758394,34837.53607540925,160.42036598880279,-9999.0,-9999.0,308,8.258697509765625,12.248373849051339
2018-11-11,686.0,8.314527239118304,12.320181710379464,6.122706,407.515,321.0,-9999.0,0.62,-9999.0,278.941473803877,33396.066886864224,144.09908657982237,-9999.0,-9999.0,315,8.314527239118304,12.320181710379464
2018-11-18,693.0,2.768402099609375,7.504281180245536,5.832063,408.02,328.0,-9999.0,0.08,-9999.0,279.6174248727811,32058.20488420653,126.58674190806695,-9999.0,-9999.0,322,2.768402099609375,7.504281180245536
2018-11-25,700.0,5.269753592354911,10.268027169363839,3.751159,408.28499999999997,335.0,-9999.0,0.59,-9999.0,278.768070848945,30853.31230110631,112.6842376034276,-9999.0,-9999.0,329,5.269753592354911,10.268027169363839
2018-12-02,707.0,7.674094063895089,11.27850341796875,3.294101,408.54999999999995,342.0,-9999.0,0.12,-9999.0,278.5117983448262,29813.618000131242,100.62678930062013,-9999.0,-9999.0,336,7.674094063895089,11.27850341796875
2018-12-09,714.0,4.647186279296875,8.403647286551339,3.055024,408.815,349.0,-9999.0,0.26,-9999.0,278.88653365154653,28972.17389906008,99.44998135209894,-9999.0,-9999.0,343,4.647186279296875,8.403647286551339
