"doy","NEE_gCm2day","NEE_unc_gCm2day","Evap_kgH2Om2day","Evap_unc_kgH2Om2day","soil_water_m3m3","soil_water_unc_m3m3"
253,0.154567316448,0.58,0.849824458530128,0.77,-9999,-9999
254,0.755474388192,0.58,0.61461762680313,0.77,-9999,-9999
255,0.0334435994208,0.58,1.21141214410218,0.77,-9999,-9999
256,-0.89687374848,0.58,1.32657335878555,0.77,-9999,-9999
257,-0.180583628256,0.58,0.804658819395398,0.77,-9999,-9999
258,-0.878599447776,0.58,1.72393668784876,0.77,0.700995,0.0700995
259,-0.756667701792,0.58,1.64343128677848,0.77,0.702155,0.0702155
260,-1.116007632,0.58,1.78251913298189,0.77,0.703695,0.0703695
261,0.591175858752,0.58,0.70524938002229,0.77,0.69909,0.069909
262,0.33372311904,0.58,1.24956594909324,0.77,0.696155,0.0696155
263,0.353955491712,0.58,1.48095170675913,0.77,0.696005,0.0696005
264,0.270651825792,0.58,1.52855090948342,0.77,0.694125,0.0694125
265,1.4449990032,0.58,0.760232802154223,0.77,0.6923,0.06923
266,-0.157560977088,0.58,1.50774303736229,0.77,0.70052,0.070052
267,-9999,-9999,1.50623514920002,0.77,0.70158,0.070158
268,-9999,-9999,0.673285333551039,0.77,0.700985,0.0700985
269,-0.0733947010848,0.58,1.33900072825894,0.77,0.702385,0.0702385
270,-0.174928359456,0.58,1.50781461191652,0.77,0.704885,0.0704885
271,0.869724307584,0.58,0.939272619058725,0.77,0.69806,0.069806
272,0.92942526816,0.58,0.887560567912511,0.77,0.69756,0.069756
273,2.37057453792,0.58,1.13315766019587,0.77,0.702765,0.0702765
274,0.464778006912,0.58,1.13727055558832,0.77,0.698935,0.0698935
275,0.14613422112,0.58,1.24703213435878,0.77,0.694315,0.0694315
276,1.38270803328,0.58,1.06771507024483,0.77,0.67934,0.067934
277,2.4989024448,0.58,1.00009338930922,0.77,0.69078,0.069078
278,2.04724881216,0.58,0.594344425351042,0.77,0.707525,0.0707525
279,0.986156434368,0.58,1.55159545351211,0.77,0.70635,0.070635
280,1.28876831136,0.58,0.718933380885924,0.77,0.718025,0.0718025
281,0.3110657256,0.58,0.709213464080675,0.77,0.71293,0.071293
282,1.50369965568,0.58,1.09498844122466,0.77,0.71288,0.071288
283,0.0990241717536,0.58,1.0237845358606,0.77,0.719955,0.0719955
284,0.227224549728,0.58,0.728674987012818,0.77,0.710625,0.0710625
285,-9999,-9999,0.895533279431887,0.77,0.709975,0.0709975
286,-9999,-9999,0.921554106799135,0.77,0.701775,0.0701775
287,1.03867053408,0.58,0.519578024997229,0.77,0.69782,0.069782
288,0.671945549184,0.58,0.799428532251393,0.77,0.722845,0.0722845
289,0.46317170304,0.58,0.892521540594334,0.77,0.734065,0.0734065
290,1.0548892224,0.58,1.04771725334972,0.77,0.73093,0.073093
291,0.877283689824,0.58,0.533709740011453,0.77,0.725265,0.0725265
292,-9999,-9999,0.370105238783363,0.77,0.724965,0.0724965
293,3.02867142336,0.58,0.0932286879890705,0.77,0.723285,0.0723285
294,1.99269881568,0.58,0.411495422600549,0.77,0.730975,0.0730975
295,2.05921307808,0.58,0.440780575554187,0.77,0.72881,0.072881
296,2.21711440896,0.58,0.369992646743935,0.77,0.72818,0.072818
297,1.39527414432,0.58,0.504414806204346,0.77,0.7313,0.07313
298,1.20038009184,0.58,0.521202420384978,0.77,0.725485,0.0725485
299,1.68518708928,0.58,1.20488088816332,0.77,0.73153,0.073153
300,1.93398778656,0.58,0.598016389545724,0.77,0.73204,0.073204
301,1.41415962912,0.58,0.882575742962875,0.77,0.727115,0.0727115
