"doy","mint_C","maxt_C","airt_C","co2_ppm","swrad_MJm2day","vpd_kPa","precip_kgm2s","wind_spd_ms"
230,9.71,18.35,14.52,400.324,9.2441088,0.1597,1.43518518518519e-05,4.591
231,7.97,16.49,12.558,401.106,13.6090368,0.1441,5.53240740740741e-05,4.652
232,7.25,16.97,12.769,401.01,15.583968,0.2022,1.90972222222222e-05,5.649
233,8.94,16.61,12.584,401.416,15.3609696,0.2367,1.96759259259259e-06,4.405
234,8.55,16.43,12.932,415.706,6.1779456,0.0364,1.99074074074074e-05,1.317
235,11.74,20.43,16.698,399.087,10.1754144,0.1241,5.78703703703704e-07,3.453
236,12.23,17.9,14.701,407.252,11.7660384,0.1432,0.000128819444444444,3.255
237,8.9,17.41,13.029,409.229,14.403744,0.2491,0,3.196
238,9.7,18.45,13.473,417.823,10.5045984,0.0761,0.000103356481481481,1.869
239,9.42,18.97,13.964,406.07,17.6812416,0.1677,0,1.162
240,10.74,17.99,13.824,406.68,14.9596416,0.0745,0,1.876
241,9.24,17.79,13.825,406.817,11.983248,0.1115,0,2.097
242,8.99,12.98,11.818,409.65,6.9710112,0.0734,4.05092592592593e-06,2.199
243,6.16,17.133,11.325,409.939,13.6346112,0.1659,0,1.951
244,7.27,17.8,13.123,401.617,14.14584,0.191,0,1.825
245,7.98,19.41,14.421,396.303,14.6730528,0.3537,0,1.736
246,13.94,18.85,16.455,397.227,5.2707456,0.125,1.81712962962963e-05,2.448
247,15.43,19.63,17.099,400.505,8.7922368,0.1453,7.98611111111111e-06,2.138
248,13.73,21.29,17.872,394.827,15.6428928,0.3685,5.84490740740741e-05,1.804
249,11.49,18.14,14.801,410.661,5.4100224,0.1015,0.00019224537037037,1.565
250,10.19,18.62,14.543,410.742,12.346128,0.1124,7.98611111111111e-06,1.634
251,11.74,16.27,14.399,405.414,4.7520864,0,0.000349652777777778,3.058
252,12.1,14.42,13.2,399.806,4.6265472,0.0124,7.8587962962963e-05,4.964
253,10.79,15.14,12.965,404.583,9.0337248,0.1638,0,2.062
254,9.21,18,14.372,401.925,8.503056,0.1338,8.56481481481482e-05,2.321
255,10.02,16.08,13.729,399.521,11.4810912,0.112,3.35648148148148e-06,5.701
256,7.45,16.52,11.654,404.148,15.4110816,0.1772,1.38888888888889e-06,3.761
257,6.95,15.56,11.072,409.493,8.8748352,0.1934,6.94444444444444e-07,2.638
258,4.62,14.42,10.409,415.888,13.9938624,0.3098,0,3.265
259,5.09,12.84,8.709,425.83,13.0368096,0.3054,0,3.363
260,4.36,13.49,9.605,424.577,13.9166208,0.251,0,4.19
261,8.79,13.5,10.597,425.655,5.4516672,0.0979,4.39814814814815e-06,2.852
262,8.29,15.07,11.623,431.809,8.4467232,0.1128,0,1.932
263,9.9,17.05,12.743,429.716,10.6320384,0.1803,5.32407407407407e-06,2.909
264,7.95,16.29,12.988,421.594,9.7943904,0.1611,1.96759259259259e-06,4.341
265,8.18,14.76,12.657,420.34,5.2187328,0.0361,7.24537037037037e-05,4.099
266,6.68,15.12,10.207,426.496,10.6687584,0.1588,2.43055555555556e-06,3.44
267,5.036,12.79,9.607,432.646,9.2077344,0.1937,6.05324074074074e-06,1.604
268,6.416,13.167,9.474,431.781,5.7636576,0.1073,1.44212962962963e-05,5.997
269,3.2,12.08,7.911,427.422,9.11088,0.1532,2.43055555555556e-05,4.226
270,3.36,11.43,7.811,426.874,9.4722912,0.1549,3.7037037037037e-06,4.553
271,5.4,11.99,9.218,425.37,5.018112,0.0762,4.44444444444444e-05,4.361
272,9.12,14.09,11.39,423.851,7.2117216,0.0361,7.63888888888889e-06,3.527
273,7.72,13.91,11.003,425.128,3.8208672,0.0714,0.000190162037037037,6.899
274,8.46,12.77,10.078,424.816,8.644752,0.0516,6.45833333333333e-05,6.004
275,8.46,14.3,10.725,423.615,10.501056,0.1023,4.28240740740741e-06,5.055
276,8.46,13.94,11.816,424.929,4.3430688,0.092,2.77777777777778e-06,4.914
277,10.46,15.05,13.184,421.342,2.8150848,0.0055,0.000128009259259259,5.703
278,6.76,13.79,9.854,427.069,3.7211616,0.0109,5.03472222222222e-05,6.337
279,8.43,13.51,11.527,426.563,7.7773824,0.0731,6.03009259259259e-05,9.797
280,6.03,11.9,8.957,435.627,5.6611008,0.0241,0.000143287037037037,6.675
281,5.63,11.92,8.752,432.859,8.1226368,0.0521,0,4.781
282,5.8,12.52,10.356,432.944,3.084048,0.075,7.48842592592593e-05,7.248
