"doy","NEE_gCm2day","NEE_unc_gCm2day","Evap_kgH2Om2day","Evap_unc_kgH2Om2day","soil_water_m3m3","soil_water_unc_m3m3"
282,0.44699452128,0.58,0.208604259103193,0.77,0.9053,0.09053
283,0.0273838491936,0.58,0.294795146029193,0.77,0.90566,0.090566
284,-0.117047461536,0.58,0.550089068515331,0.77,0.9061,0.09061
285,-0.0245222831808,0.58,0.342172519824679,0.77,0.90735,0.090735
286,-0.000747135720288,0.58,0.482817646367359,0.77,0.90856,0.090856
287,0.382985179776,0.58,0.178805915987834,0.77,0.90984,0.090984
288,-0.18105680304,0.58,0.385125915881058,0.77,0.9109,0.09109
289,0.802267846272,0.58,0.0803410502677289,0.77,0.91148,0.091148
290,0.642566168352,0.58,0.131525253112582,0.77,0.91044,0.091044
291,0.196334330112,0.58,0.132115261001176,0.77,0.90984,0.090984
292,1.012781854944,0.58,0.0890371081877966,0.77,0.90991,0.090991
293,0.139282525728,0.58,0.438427677900088,0.77,0.91108,0.091108
294,0.442846978272,0.58,0.278315356471181,0.77,0.91141,0.091141
295,0.322836986016,0.58,0.304891542054495,0.77,0.91165,0.091165
296,0.307743125472,0.58,0.250638712484004,0.77,0.91214,0.091214
297,0.173937390336,0.58,0.203841754955114,0.77,0.9121,0.09121
298,0.732496356576,0.58,0.234492407678586,0.77,0.9115,0.09115
299,0.663579902016,0.58,0.128791650926657,0.77,0.91089,0.091089
300,-9999,-9999,0.0699832607056777,0.77,0.91085,0.091085
301,1.06363672992,0.58,0.0568146854633774,0.77,0.91204,0.091204
302,0.58683531024,0.58,0.108710416651067,0.77,0.91273,0.091273
303,0.469844920224,0.58,0.0904793403051774,0.77,0.91241,0.091241
304,0.280224276192,0.58,0.12708024584078,0.77,0.91183,0.091183
305,0.417919176,0.58,0.0605362194579992,0.77,0.91131,0.091131
306,0.827787117024,0.58,0.0505953928359515,0.77,0.91101,0.091101
307,0.839451498048,0.58,0.0584995416109126,0.77,0.91105,0.091105
308,0.68471815536,0.58,0.0477808465184396,0.77,0.91121,0.091121
309,0.456464242944,0.58,0.0431809001007658,0.77,0.91109,0.091109
310,-9999,-9999,0.0458831837402645,0.77,0.91153,0.091153
311,0.436108388256,0.58,0.12241673245859,0.77,0.91195,0.091195
312,0.993877692192,0.58,0.0348472548162659,0.77,0.91106,0.091106
313,0.769928010048,0.58,0.0340340624134878,0.77,0.911,0.0911
314,0.793611653184,0.58,0.00837834927517876,0.77,0.91099,0.091099
315,0.472589541504,0.58,0.0569516235752295,0.77,0.91098,0.091098
316,-9999,-9999,0.0961296339348889,0.77,0.91153,0.091153
317,-9999,-9999,0.0870111384963539,0.77,0.91286,0.091286
318,-9999,-9999,0.0681345475276323,0.77,0.91412,0.091412
319,0.994940260128,0.58,0.0646316279531999,0.77,0.91476,0.091476
320,0.96848812944,0.58,0.071732451730499,0.77,0.91452,0.091452
321,1.35803238336,0.58,0.200846295043035,0.77,0.91408,0.091408
322,1.0897547328,0.58,0.138489286174356,0.77,0.91441,0.091441
323,1.0928677248,0.58,0.836789660235598,0.77,0.9144,0.09144
324,1.15244001504,0.58,0.0768525294053555,0.77,0.91618,0.091618
325,0.507164505984,0.58,0.0817941512102377,0.77,0.91812,0.091812
326,0.690225038208,0.58,0.141541744842152,0.77,0.91985,0.091985
327,0.55392060816,0.58,0.165701861578952,0.77,0.92064,0.092064
328,1.37232101664,0.58,0.170643191911046,0.77,0.92225,0.092225
329,0.319845400704,0.58,0.409928820239718,0.77,0.92176,0.092176
330,0.748572884928,0.58,0.196202983006692,0.77,0.92159,0.092159
331,0.433854582048,0.58,0.122912052446216,0.77,0.92252,0.092252
332,0.758419278624,0.58,0.0304383542620591,0.77,0.92379,0.092379
333,1.29481789248,0.58,0.557244333196574,0.77,0.92533,0.092533
334,1.59539802336,0.58,0.0504000349900652,0.77,0.92569,0.092569
335,0.888231045024,0.58,0.0797740263703653,0.77,0.92475,0.092475
336,0.28651978368,0.58,0.015878477139142,0.77,0.92354,0.092354
337,0.497685445344,0.58,0.169745285201495,0.77,0.92301,0.092301
338,-9999,-9999,-0.0107096814532961,0.77,0.92361,0.092361
339,0.939343260672,0.58,0.107198653874025,0.77,0.92494,0.092494
340,0.818976312,0.58,0.0493381655858893,0.77,0.92506,0.092506
341,0.752110281504,0.58,0.0309799632205768,0.77,0.92509,0.092509
342,0.164253909888,0.58,0.18343552690797,0.77,0.9255,0.09255
343,0.0413946998208,0.58,0.109595772428115,0.77,0.92589,0.092589
344,0.160590955968,0.58,0.0317958520431784,0.77,0.92686,0.092686
345,0.219738841632,0.58,0.0192997055910249,0.77,0.92783,0.092783
346,0.220675852224,0.58,0.0340345456751088,0.77,0.92881,0.092881
347,0.568358665056,0.58,0.0342556764593864,0.77,0.92934,0.092934
348,0.268091908704,0.58,0.0262073589224118,0.77,0.92905,0.092905
349,0.328765160448,0.58,0.0274133556473958,0.77,0.9294,0.09294
350,1.04720013216,0.58,0.121215349711237,0.77,0.92937,0.092937
351,0.614659232736,0.58,0.130098740543816,0.77,0.92829,0.092829
352,-9999,-9999,0.00358038852354485,0.77,0.92828,0.092828
353,-9999,-9999,-0.0344992109461223,0.77,0.92819,0.092819
354,-9999,-9999,-0.034470015610428,0.77,0.92819,0.092819
355,-9999,-9999,0.0111079220938664,0.77,0.92883,0.092883
356,-9999,-9999,0.0911388427601819,0.77,0.92877,0.092877
357,-9999,-9999,0.0568403569303764,0.77,0.92824,0.092824
358,-9999,-9999,0.00792164055811302,0.77,0.92853,0.092853
359,-9999,-9999,0.0649839051427459,0.77,0.9282,0.09282
360,-9999,-9999,0.0496238915115074,0.77,0.92804,0.092804
361,-9999,-9999,0.025801275508809,0.77,0.92757,0.092757
362,-9999,-9999,0.0361959143145595,0.77,0.92734,0.092734
363,-9999,-9999,0.0380625780719097,0.77,0.92792,0.092792
364,-9999,-9999,0.0320748720224756,0.77,0.92759,0.092759
365,-9999,-9999,0.0323372001684457,0.77,0.92706,0.092706
366,-9999,-9999,0.0323462988858596,0.77,0.92706,0.092706
1,-9999,-9999,0.0296972586854349,0.77,0.92706,0.092706
2,-9999,-9999,0.0416454616015263,0.77,0.9276,0.09276
3,-9999,-9999,0.0310867157530576,0.77,0.92883,0.092883
4,-9999,-9999,0.00724370937954277,0.77,0.9304,0.09304
5,-9999,-9999,0.333313800628474,0.77,0.93183,0.093183
6,-9999,-9999,0.047593724375785,0.77,0.93284,0.093284
7,-9999,-9999,-0.0238835260846347,0.77,0.93343,0.093343
8,-9999,-9999,0.0264038349740404,0.77,0.93417,0.093417
9,-9999,-9999,-0.194009169195927,0.77,0.9349,0.09349
10,-9999,-9999,-0.00928111333128034,0.77,0.9356,0.09356
11,-9999,-9999,0.00220295369708986,0.77,0.9362,0.09362
12,-9999,-9999,0.0543870788176504,0.77,0.93638,0.093638
13,0.528140883744,0.58,0.00117392250930063,0.77,0.93613,0.093613
14,-9999,-9999,-0.000445858865367576,0.77,0.93448,0.093448
15,-9999,-9999,-0.0109389099621583,0.77,0.93407,0.093407
16,-9999,-9999,-0.000807564090563204,0.77,0.93407,0.093407
17,-9999,-9999,-4.32357274460791e-05,0.77,0.93407,0.093407
